We still have about 10 minutes left, shall we just c{{c1::hat}}? 	"まだ10分ぐらいあるので、ちょっと<font color=""#0000ff"">雑談</font>でもしましょうか。"	chat	ʧæt	雑談	Noun	[sound:engineer-vocabulary-list_098.mp3]	small talk
I'm in the preparation p{{c1::hase}} of the test now.	"今は、テストの準備をしている<font color=""#0000ff"">段階</font>です。"	phase	feɪz	段階	Noun	[sound:engineer-vocabulary-list_099.mp3]	
I'll check the e{{c1::xisting}} sources and then think about it.	"<font color=""#0000ff"">既存の</font>ソースを見て、考えてみます。"	existing	ɪgˈzɪstɪŋ	既存の	Adjective	[sound:engineer-vocabulary-list_100.mp3]	
There was a similar c{{c1::ase}} last week.	"先週、それに似た<font color=""#0000ff"">事例</font>がありました。"	case	keɪs	事例	Noun	[sound:engineer-vocabulary-list_101.mp3]	
I think it'll be difficult to maintain the QA q{{c1::uality}} if we move the release date up.	"リリースを早めると、QAの<font color=""#0000ff"">品質</font>を保つのは難しくなると思います。"	quality	ˈkwɑləti	品質	Noun	[sound:engineer-vocabulary-list_102.mp3]	
When do you think we'll finish p{{c1::rocessing}} the refund?	"返金<font color=""#0000ff"">処理</font>は、いつ完了しそうですか。"	processing	ˈprɑsɛsɪŋ	処理	Noun	[sound:engineer-vocabulary-list_103.mp3]	
A lot of s{{c1::ystem}} {{c1::errors}} have been happening these days.	"最近、<font color=""#0000ff"">障害</font>が多く発生している。"	system error	ˈsɪstəm ˈɛrər	障害	Noun	[sound:engineer-vocabulary-list_104.mp3]	fault
There are no c{{c1::ritical}} failures yet. 	"今のところ、<font color=""#0000ff"">致命的な</font>障害は起きてません。"	critical, specially important	ˈkrɪtɪkəl, ˈspɛʃəli ɪmˈpɔrtənt	致命的な	Adjective	[sound:engineer-vocabulary-list_105.mp3]	
Hold on, Chrome is a{{c1::cting}} weird. 	"ちょっと待って、Chromeの<font color=""#0000ff"">挙動</font>がおかしい。"	acting	ˈæktɪŋ	挙動	Noun	[sound:engineer-vocabulary-list_106.mp3]	behavior
Is there s{{c1::omething}} you plan to do in terms of QA for next week? 	"来週QAする予定の<font color=""#0000ff"">やつ</font>、ある？"	something	ˈsʌmθɪŋ	やつ	Noun	[sound:engineer-vocabulary-list_107.mp3]	
I've m{{c1::ade}} a schedule for the next release, so please check it by the end of today if you haven't.	"リリースまでのスケジュールを<font color=""#0000ff"">作成し</font>たので、まだ見てない人は、今日中に確認してください"	make (document, schedule or plan)	meɪk (ˈdɑkjəmɛnt, ˈskɛʤʊl ɔr plæn)	作成する	Verb	[sound:engineer-vocabulary-list_108.mp3]	
Please check here for the important points about p{{c1::lanning}} AB tests.	"ABテストを<font color=""#0000ff"">設計する</font>ときの注意点については、ここを読んどいてください。"	plan	plæn	設計する	Verb	[sound:engineer-vocabulary-list_109.mp3]	design, layout 
This document is now o{{c1::pen}} {{c1::to}} everyone.	"この資料は、全メンバーに<font color=""#0000ff"">展開さ</font>れています"	be open to	bi ˈoʊpən tu	展開する	Verb	[sound:engineer-vocabulary-list_110.mp3]	expand
We should think about this more in order to d{{c1::ecide}} the d{{c1::etails}}. 	"この件、もう少し<font color=""#0000ff"">詰め</font>た方がいいですね。"	decide details	ˌdɪˈsaɪd dɪˈteɪlz	(内容を)詰める	Verb	[sound:engineer-vocabulary-list_111.mp3]	
I've d{{c1::elegated}} this project to Sato-san.	"このプロジェクトは、佐藤さんに<font color=""#0000ff"">任せ</font>ました"	delegate	ˈdɛləgət	任せる	Verb	[sound:engineer-vocabulary-list_112.mp3]	leave something with someone
I e{{c1::stimate}} it will take about 2 months in total	"<font color=""#0000ff"">見積もる</font>と、だいたいトータルで2ヶ月かかります。"	estimate	ˈɛstəmət	見積もる	Verb	[sound:engineer-vocabulary-list_113.mp3]	
This information is l{{c1::inked}} to customer ID.	"この情報は、お客様IDに<font color=""#0000ff"">紐づい</font>ています"	link	lɪŋk	紐づく           	Verb	[sound:engineer-vocabulary-list_114.mp3]	
It's l{{c1::ike}} this.	"こんな<font color=""#0000ff"">感じ</font>です。"	like [something]	laɪk [ˈsʌmθɪŋ]	感じ	Adverb	[sound:engineer-vocabulary-list_115.mp3]	
Is there anything else you want to talk about b{{c1::esides}} the topics written here?	"ここに書いてあるトピック<font color=""#0000ff"">以外</font>に何か話したいことありますか。"	besides	bɪˈsaɪdz	以外	Adverb	[sound:engineer-vocabulary-list_116.mp3]	except
There's a limit to the number of projects we can handle a{{c1::t}} the {{c1::same}} {{c1::time}}.	"<font color=""#0000ff"">同時に</font>担当できるプロジェクトの数には限界があります"	at the same time	æt ðə seɪm taɪm	同時に	Adverb	[sound:engineer-vocabulary-list_117.mp3]	simultaneously 
If we don't solve this problem, i{{c1::n}} the {{c1::end}} it'll happen just before the release. 	"これを解決しておかないと、<font color=""#0000ff"">結局</font>、リリース直前に問題が出てくる。"	in the end	ɪn ði ɛnd	結局	Adverb	[sound:engineer-vocabulary-list_118.mp3]	after all
I've m{{c1::ostly}} finished this ticket.	"このチケットは<font color=""#0000ff"">ほぼ</font>終わりました"	mostly	ˈmoʊstli	ほぼ 	Adverb	[sound:engineer-vocabulary-list_119.mp3]	
What was the point of this meeting i{{c1::n}} the {{c1::first}} {{c1::place}}?	"<font color=""#0000ff"">そもそも</font>、このミーティングの目的はなんでしたっけ？"	in the first place 	ɪn ðə fɜrst pleɪs 	そもそも	Adverb	[sound:engineer-vocabulary-list_120.mp3]	
Let's all share our opinions o{{c1::ne}} {{c1::after}} the {{c1::other}}. 	"<font color=""#0000ff"">どんどん</font>意見を言ってくださいね"	one after the other	wʌn ˈæftər ði ˈʌðər	どんどん	Adverb	[sound:engineer-vocabulary-list_121.mp3]	
OK, the QA s{{c1::ide}} will deal with this.	"これはQA<font color=""#0000ff"">側</font>で対応します"	side 	saɪd 	〜側	Noun	[sound:engineer-vocabulary-list_122.mp3]	
